1684	FANNY S.R.L.
1897	MAGLIFICIO DI VERONA SRL
2147	CET S.R.L.
2228	DIVINA MODE SRL
1641	SOKKER DI ONEDA MASSIMO
1551	MALIMA S.R.L.
1702	FUSION LAB SRL
2412	SUNFLOWER STYLE SRL
1394	ISIT S.R.L.
1470	KOSTNER S.R.L.
1496	MAGLIFICIO ALIZ S.R.L.
1492	BRUNELLESCHI SRL
772	MEETING GROUP S.P.A.
2562	ESSE S.R.L.
1305	LASETTE SRL
1498	ISKO S.R.L.
1348	L.A.SERVICE SAS DI PASSARELLA LUCIO&C.
1515	MGS S.R.L.
1633	SAMMA S.R.L.
1659	MOVIMODA S.P.A.
1501	KOBRA S.R.L.
1314	COLIBRI'SNC DI BALBONI DENIS&BALBONI M.
1986	MMW S.R.L.
1632	VALIA S.R.L.
1914	MAGLIFICIO PO SRL CON SOCIO UNICO
1248	SILKY SRL
1724	MICHELI EMILIO S.A.S.
2464	CASTOR S.R.L.
2250	D&O TRADING S.R.L.
1007	MAVECON SRL
1194	MARTINICA BELTS SRL
2025	WOODEN S.R.L.
2144	BRUNO'S S.R.L.
1405	RIBBONTEX S.R.L. UNINOMINALE
1436	SNAFU DESIGN DI DALL'AGLIO ALBERTO
1513	GGZ S.R.L.
1852	BRAND STYLE SRL
670	RIGOMAR S.R.L.
1622	CONFEZIONI LUCIA DI MANFRIN ROSA
1327	CDM SERVICE SRL
1772	NUOVA RIGOMAR S.R.L.
1174	FASHION TEAM SRL
1829	G. E G. SRL
2155	GLAM SRL
2187	PELLEGRINELLI SRL
2217	ROTA S.R.L.
1801	MAGLIFICIO LB SRL
1304	HARMONT & BLAINE SPA
1219	MEDITERRANEA SRL
1433	THE EDGE TRADE S.A.S.
1913	CIVICOQUATTRO DI ORIETTA MARCON
1095	BACKER & TELVE S.R.L.
2339	INTERSOCKS S.R.L. A SOCIO UNICO
1670	LA COCCINELLA S.R.L.
1353	O.C.M.DI OLZI MARLA CARLA&C. SNC
1296	STUDIO DI CINQUE SRL DI CAMPESE DANIELA
776	LA ROSA S.P.A.
1996	UNO MAGLIA SPA
2153	SPACE FASHION SRL
2501	GRUPPO DONDI S.P.A.
1413	WP LAVORI IN CORSO S.R.L.
1553	MODAITALIA S.R.L.
2408	BLUE LINE PROJECT SRL
1310	STIVAL S.P.A.
1518	STIVAL S.R.L.
1974	MORGANO S.R.L.
1683	MESTRINER SRL
2223	NOTORIUS DI MICHELETTI S.R.L.
966	MANIF. O.ARCOLIN SPA ind.maglierie
1171	TRERE' S.R.L. HOSIERY INNOVATION
1319	INNOVATION SRL
149	PESPOW CONFEZIONI S.P.A
1575	CONFEZIONI ORAZIO S.N.C.
718	L.&P.COMPANY S.R.L
822	AIRLINE SRL
1205	NILVIA S.N.C.
969	DYNAMIC JEANS MANIFATTURE S.R.L.
1381	EB S.R.L. PROJECTS & FASHION STYLE
571	CONFEZIONI NEW ENERGY DI MASO D.& C. SNC
1329	CONFEZIONI DREAM DI PARAZZOLO DINA
221	NUOVA TAELA S.P.A.
1269	SO.GE.TEX SRL
616	MAGLIFICIO FIBO S.R.L.
1464	ROSY GROUP DI POLILO VINCENZO
1230	ENTERPRISE SRL
1203	C.D.A. S.R.L.
1242	CONVERSE ITALIA SRL
522	ITALSERVICES S.P.A.
963	ITALSERVICES S.P.A. CAMP.
937	ETROS SRL
1211	MAGLIFICIO ADELE SOC. COOP.
1506	DEKEN'S S.R.L.
830	DADA CASALI S.N.C. DI PIETRIBIASI G.& C.
1573	SARTORIA MALASPINA DI MALASPINA PASQUALE
760	MC ADAMS SPA
850	C.N. DISTRIBUTION SRL
44	EVENTI S.R.L.
1107	VIA DEL CORSO S.R.L.
1143	WAIP WE ARE ITALIAN PEOPLE SRL
1574	W.A.I.P. SNC DI PIANALTO SEVERINO & C.
1823	CARLO BONOMI 1860 DIV.DELLA EIT S.R.L.
1984	MOCREAL S.R.L.
229	MAGL.BI.MA.TEX SNC DI BIDESE MADDALENA
2078	SEM MANIFATTURE S.R.L.
375	DINO CONFEZIONI S.R.L.
2323	JEIKO S.R.L.S. UNIPERSONALE
1088	COVER 50 SRL
1104	CONF.CICALA DI GIRALDO ENZO & C. S.N.C.
546	CONF.SUPERGIN S.P.A.
1108	1955 S.R.L.
1117	GALLO ALESSANDRO S.R.L.
1048	MANIF.DI PADOVA SRL
1294	CACCIAVILLANI WORKS SNC
1619	ERATO S.R.L.
307	NUOVA THE FAMILY S.N.C. DI MATTIELLO
1456	FOR HORSES S.R.L.
2067	A&T SRLS
2129	SHU S.R.L.
1890	SARTORIE DRC S.R.L.
714	LARUS MIANI S.P.A.
1418	NEW EVENTI SRL
949	MAJOR CONFEZIONI SRL
167	TESSPORT S.P.A.
1907	BASSO LEATHER DI BASSO DOTT. MATTEO
320	G.B. INTERNATIONAL S.P.A.
870	TAM & COMPANY S.P.A. (PROTOTIPI)
1441	MAGLIFICIO SELENE S.R.L. UNIPERSONALE
859	QUIBOS S.R.L.
1243	MACLIV SRL
2076	EVABI S.R.L.
627	MANIF.VICENTINE SRL
1338	IMMAGINE SRL
992	NOI DOI SRL
646	CREAZIONI TINA S.R.L.
1487	CONCERIA PRIANTE S.P.A.
1098	IL CLICHE' S.A.S
572	ZANEBET SRL Unipersonale
893	EUROTRADE S.R.L. CAMP.
1376	YASMIN NAQVI S.R.L.
1182	MITHO S.R.L.
2369	FREE STYLE SYSTEM SRL
659	AURORA STYLE SPA
1771	ERRETI S.R.L.
580	BON MARCHE' S.R.L.
505	MAGL.G.Z. S.N.C.
1847	MAGLIERIA GZ S.R.L.
1373	VCM SRL
2234	NINFEA S.R.L. UNIPERSONALE
2161	L'ARCA ABBIGLIAMENTO E SERVIZI SOC.COOP.
985	FUTURE SERVICE SRL
688	LOGITEX S.R.L. - UNIPERSONALE
1650	NST S.R.L.
1668	NST 2 SAS DI MICHIELON STEFANO,MAURO&C.
994	VIGANO' SRL
11	MAGL.CORTESE S.R.L.
1244	MAGLIFICIO FURLAN SRL
2397	SO SISTERS S.R.L.
1471	APONENSE S.R.L.
1315	MAGLIFICIO CONFEZIONI 3 CCC S.R.L.
1834	STYLE IN ITALY S.R.L.
2084	PROFASHION SRL
1824	APE & PARTNERS S.P.A.
397	HANDY BLUES S.R.L.
1863	ITALBRAND S.R.L.
1816	ITALIAN WORLD S.R.L. S.U.
1953	ITALIAN WORLD S.R.L.
1416	FILBON S.R.L.
2661	DUE ERRE SAS DI ROMAGNOLI GIACOMO &C.
1590	BRUNELLO CUCINELLI SPA
1697	LUZAN S.A.S. DI DAL BALCON FRANCESCO&C.
1609	SHIRT LAB SRL
1363	SKYWALTER SRL
936	SERITEX S.R.L.
2140	UP STUDIO S.A.S. DI ELENA FURLANI&C.
1862	PAUL S.P.A.
